/Users/piasommerauer/Data/dsm/coha/coha_1940/sgns_rand_pinit1/sgns_rand_pinit1,/Users/piasommerauer/Data/dsm/coha/coha_1940/sgns_rand_pinit2/sgns_rand_pinit2,/Users/piasommerauer/Data/dsm/coha/coha_1940/sgns_rand_pinit3/sgns_rand_pinit3
racial,racial,racial
political,religious,religious
solidarity,political,political
religious,race,economic
communism,linguistic,race
social,social,solidarity
nationalism,solidarity,communism
economic,doctrines,linguistic
religion,economic,cultural
cultural,sex,discrimination
diverse,diverse,prejudice
linguistic,persecution,social
jews,origin,diverse
conflict,moral,define
prejudices,complex,jews
race,religion,attitudes
inheritance,jews,minorities
prejudice,spiritual,doctrines
dominant,equality,nationalism
discontent,inertia,sex
moral,discontent,peoples
breeds,cultural,religion
sex,communism,socialism
oppression,nationalism,classes
doctrines,human,races
